permit_number,streetname,cross_street_1,cross_street_2,utility_contractor,permit_reason,utility_type,effective_date,expiration_date,status,cnn
25EXC-01027,LEAVENWORTH ST,EDDY ST,ELLIS ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,8241000
25EXC-01027,LEAVENWORTH ST,MCALLISTER ST,GOLDEN GATE AVE,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,8238000
25EXC-01027,NATOMA ST,07TH ST,08TH ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,9514000
25EXC-00483,SEACLIFF AVE,EL CAMINO DEL MAR,END: 301-499 BLOCK,"Minerva Construction, Inc.",Install New Main,Sewer,2025-04-14T00:00:00.000,2026-05-31T00:00:00.000,APPROVED,11729000
25EXC-01027,08TH ST,HOWARD ST,TEHAMA ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,409000
25EXC-01027,CLAY ST,LARKIN ST,,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,25297000
25EXC-01027,08TH ST,TEHAMA ST,CLEMENTINA ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,410000
25EXC-01027,CLAY ST,LEAVENWORTH ST,HYDE ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,4103000
25EXC-01027,LEAVENWORTH ST,GEARY ST,POST ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,8244000
25EXC-01073,INNES AVE,ARELIOUS WALKER DR,GRIFFITH ST,Pacific Gas & Electric,Replace Pole,Electric,2025-04-17T00:00:00.000,2025-05-15T00:00:00.000,APPROVED,7254000
25EXC-01027,STEVENSON ST,06TH ST,07TH ST \ ODD FELLOWS WAY,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,12171000
25EXC-01027,CLAY ST,JONES ST,LEAVENWORTH ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,4102000
25EXC-01027,08TH ST,MINNA ST,NATOMA ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,407000
25EXC-01027,CLEMENTINA ST,08TH ST,09TH ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,4203000
25EXC-01027,CLEMENTINA ST,KAPLAN LN,,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,30016000
25EXC-01027,LEAVENWORTH ST,TURK ST,EDDY ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,8240000
25EXC-01027,LEAVENWORTH ST,CLAY ST,WASHINGTON ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,8252000
25EXC-01027,WASHINGTON ST,LARKIN ST,POLK ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,13431000
25EXC-01027,LARKIN ST,WASHINGTON ST,JACKSON ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,8144000
25EXC-01027,CLEMENTINA ST,KAPLAN LN,03RD ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,4197000
25EXC-01027,08TH ST,NATOMA ST,HOWARD ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,408000
25EXC-01027,08TH ST,MISSION ST,MINNA ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,406000
25EXC-01027,07TH ST,CHARLES J BRENHAM PL \ MARKET ST,ODD FELLOWS WAY \ STEVENSON ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,365000
25EXC-01027,LARKIN ST,WASHINGTON ST,,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,25299000
25EXC-01027,MISSION ST,ANGELOS ALY \ JULIA ST,08TH ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,9102000
25EXC-01027,GORDON ST,START: 1-99 BLOCK,HARRISON ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,6304000
25EXC-01027,LEAVENWORTH ST,OFARRELL ST,GEARY ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,8243000
25EXC-01027,08TH ST,CLEMENTINA ST,FOLSOM ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,411000
25EXC-01027,LEAVENWORTH ST,SACRAMENTO ST,CLAY ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,8251000
25EXC-01027,CLAY ST,TORRENS CT,LARKIN ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,4104002
25EXC-01027,LEAVENWORTH ST,SUTTER ST,BUSH ST,Ronan Construction Inc.,Install New Main,Pavement Preservation:Sidewalk/Curb:Sewer,2025-03-01T00:00:00.000,2026-04-30T00:00:00.000,APPROVED,8246000
25EXC-01115,IRWIN ST,07TH ST,08TH ST \ WISCONSIN ST,Pacific Gas & Electric,Install New Pole,Electric,2025-04-23T00:00:00.000,2025-05-21T00:00:00.000,APPROVED,7328000
25EXC-01115,07TH ST,HOOPER ST,IRWIN ST,Pacific Gas & Electric,Install New Pole,Electric,2025-04-23T00:00:00.000,2025-05-21T00:00:00.000,APPROVED,381000
25EXC-01059,29TH ST,NOE ST,CASTRO ST \ DAY ST,Pacific Gas & Electric,Replace Pole,Electric,2025-05-15T00:00:00.000,2025-06-12T00:00:00.000,APPROVED,1634000
25EXC-01108,HARRISON ST,15TH ST,16TH ST \ TREAT AVE,Pacific Gas & Electric,Replace Pole,Electric,2025-04-17T00:00:00.000,2025-05-15T00:00:00.000,APPROVED,6744000
25EXC-01106,CRESCENT AVE,ANDOVER ST,MOULTRIE ST,Pacific Gas & Electric,Replace Pole,Electric,2025-04-08T00:00:00.000,2025-05-06T00:00:00.000,APPROVED,4492000
25EXC-01139,BRYANT ST,25TH ST,26TH ST,Pacific Gas & Electric,Replace Pole,Electric,2025-05-29T00:00:00.000,2025-06-26T00:00:00.000,APPROVED,3315000
25EXC-01139,BRYANT ST,26TH ST,CESAR CHAVEZ ST,Pacific Gas & Electric,Replace Pole,Electric,2025-05-29T00:00:00.000,2025-06-26T00:00:00.000,APPROVED,3316000
25EXC-01136,25TH ST,FLORIDA ST,ALABAMA ST,Pacific Gas & Electric,Replace Pole,Electric,2025-04-10T00:00:00.000,2025-05-08T00:00:00.000,APPROVED,1427000
25EXC-01111,OFARRELL ST,LEAVENWORTH ST,HARLEM ALY,Pacific Gas & Electric,Other,Electric,2025-04-05T00:00:00.000,2025-05-03T00:00:00.000,APPROVED,9730000
25EXC-01105,BUCHANAN ST,POST ST,SUTTER ST,Pacific Gas & Electric,Replace/Repair Box,Sidewalk/Curb,2025-04-07T00:00:00.000,2025-05-05T00:00:00.000,APPROVED,3336000
25EXC-01136,FLORIDA ST,25TH ST,26TH ST,Pacific Gas & Electric,Replace Pole,Electric,2025-04-10T00:00:00.000,2025-05-08T00:00:00.000,APPROVED,5630000
25EXC-01112,WOOD ST,GEARY BLVD,ANZA ST,Pacific Gas & Electric,Replace Pole,Electric,2025-04-15T00:00:00.000,2025-05-13T00:00:00.000,APPROVED,13706000
25EXC-01114,GUERRERO ST,25TH ST,26TH ST,Pacific Gas & Electric,Other,Electric,2025-03-13T00:00:00.000,2025-05-11T00:00:00.000,APPROVED,6587201
25EXC-01108,16TH ST,ALABAMA ST,HARRISON ST \ TREAT AVE,Pacific Gas & Electric,Replace Pole,Electric,2025-04-17T00:00:00.000,2025-05-15T00:00:00.000,APPROVED,719000
25EXC-01120,23RD ST,MISSION ST,BARTLETT ST,Pacific Gas & Electric,Install Cathodic Protection,Gas,2025-04-01T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,1265000
25EXC-01168,34TH AVE,TARAVAL ST,ULLOA ST,Pacific Gas & Electric,Replace Pole,Sidewalk/Curb,2025-05-27T00:00:00.000,2025-06-24T00:00:00.000,APPROVED,1758000
25EXC-01143,DIAMOND ST,17TH ST,MARKET ST,Pacific Gas & Electric,Replace Pole,Electric,2025-04-16T00:00:00.000,2025-05-14T00:00:00.000,APPROVED,4736000
25EXC-01143,DIAMOND ST,MARKET ST,18TH ST,Pacific Gas & Electric,Replace Pole,Electric,2025-04-16T00:00:00.000,2025-05-14T00:00:00.000,APPROVED,4737000
25EXC-01141,03RD ST,FOLSOM ST,SAINT FRANCIS PL,Pacific Gas & Electric,Spot Paving,Gas,2025-04-07T00:00:00.000,2025-05-05T00:00:00.000,APPROVED,170000
25EXC-01083,OFARRELL ST,PIERCE ST,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,26613000
25EXC-01083,JESSIE ST,09TH ST,10TH ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,7525000
25EXC-01083,JACK LONDON ALY,BRYANT ST,TABER PL,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,7355000
25EXC-01083,JACK LONDON ALY,SOUTH PARK,VARNEY PL,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,7357000
25EXC-01083,RUSS ST,HOWARD ST,FOLSOM ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,11186000
25EXC-01083,SOUTH PARK,JACK LONDON ALY,SOUTH PARK,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,12009102
25EXC-01083,OFARRELL ST,PIERCE ST,SCOTT ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,9739000
25EXC-01083,ELLIS ST,BEIDEMAN ST,DIVISADERO ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,5191000
25EXC-01083,STEINER ST,ELLIS ST,OFARRELL ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,12132000
25EXC-01083,SCOTT ST,TURK ST,EDDY ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,11694000
25EXC-01083,CLEMENTINA ST,SUMNER ST,08TH ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,4202000
25EXC-01083,JACK LONDON ALY,SOUTH PARK,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,28058000
25EXC-01083,JACK LONDON ALY,TABER PL,SOUTH PARK,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,7356000
25EXC-01083,CAMELLIA AVE,CASTLE MANOR AVE,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,21778000
25EXC-01083,JACK LONDON ALY,VARNEY PL,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,23815000
25EXC-01083,COLIN P KELLY JR ST,BRANNAN ST,TOWNSEND ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,4262000
25EXC-01083,JACK LONDON ALY,SOUTH PARK,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,23816000
25EXC-01083,CAMELLIA AVE,CASTLE MANOR AVE,SILVER AVE,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,3629000
25EXC-01083,JACK LONDON ALY,TABER PL,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,24507000
25EXC-01083,SANTA YSABEL AVE,DELANO AVE,UNNAMED 041,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,11603000
25EXC-01083,SOUTH PARK,SOUTH PARK,JACK LONDON ALY,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,12009101
25EXC-01083,12TH ST,SOUTH VAN NESS AVE,HOWARD ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,542000
25EXC-01083,ELLIS ST,SCOTT ST,BEIDEMAN ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,5190000
25EXC-01083,JACK LONDON ALY,VARNEY PL,BRANNAN ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,7358000
25EXC-01083,PIERCE ST,ELLIS ST,OFARRELL ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,10429000
25EXC-01083,DELANO AVE,SANTA YSABEL AVE,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,22111000
25EXC-01083,BEIDEMAN ST,ELLIS ST,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,26617000
25EXC-01083,SOUTH PARK,SOUTH PARK,JACK LONDON ALY,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,12009201
25EXC-01083,BEIDEMAN ST,ELLIS ST,OFARRELL ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,2882000
25EXC-01083,SOUTH PARK,JACK LONDON ALY,SOUTH PARK,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,12009202
25EXC-01083,SOUTH PARK,SOUTH PARK,03RD ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,12010000
25EXC-01083,CLEMENTINA ST,SUMNER ST,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-14T00:00:00.000,2025-05-30T00:00:00.000,APPROVED,24277000
25EXC-01093,SCOTIA AVE,AUGUSTA ST \ SILVER AVE,QUINT ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,11677000
25EXC-01221,GEARY ST,POWELL ST,MASON ST,Pacific Gas & Electric,Spot Paving,Gas,2025-04-14T00:00:00.000,2025-05-12T00:00:00.000,APPROVED,6110000
24EXC-04854,SOMERSET ST,BURROWS ST,BACON ST,Pacific Gas & Electric,Replace Pole,Electric,2025-05-01T00:00:00.000,2025-05-29T00:00:00.000,APPROVED,11969000
25EXC-01093,THOMAS AVE,MADDUX AVE,QUINT ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,12575000
25EXC-01093,CLEO RAND AVE,START: 100-199 BLOCK,DONAHUE ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,4204000
25EXC-01221,MASON ST,GEARY ST,DERBY ST,Pacific Gas & Electric,Spot Paving,Gas,2025-04-14T00:00:00.000,2025-05-12T00:00:00.000,APPROVED,8804000
25EXC-01093,GALVEZ AVE,MENDELL ST,NEWHALL ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,5985000
25EXC-01093,SCOTIA AVE,QUINT ST,MADDUX AVE,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,11678000
25EXC-01093,THORNTON AVE,NEPTUNE ST,VENUS ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,12595000
25EXC-01093,SCOTIA AVE,MADDUX AVE,BRIDGEVIEW DR \ THORNTON AVE,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,11679000
25EXC-01093,20TH ST,MISSISSIPPI ST,TEXAS ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,1032000
25EXC-01093,QUINT ST,PALOU AVE \ SILVER AVE,QUESADA AVE,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,10835000
25EXC-01093,REBECCA LN,END: 1-99 BLOCK,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,50886000
25EXC-01093,APOLLO ST,THORNTON AVE,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,20542000
25EXC-01093,MADDUX AVE,THOMAS AVE,TOPEKA AVE,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,8594000
25EXC-01093,REY ST,VISITACION AVE,SUNNYDALE AVE,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,10988000
25EXC-01093,THORNTON AVE,VENUS ST,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,20541000
25EXC-01093,MISSOURI ST,17TH ST,MARIPOSA ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,9208000
25EXC-01093,KEITH ST,FAIRFAX AVE,BOWMAN CT,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,7778000
25EXC-01093,REBECCA LN,KEITH ST,END: 1-99 BLOCK,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,10949000
25EXC-01093,REY ST,LELAND AVE,VISITACION AVE,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,10987000
25EXC-01093,CAMPBELL AVE,GOETTINGEN ST,SOMERSET ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,3639000
25EXC-01093,LEDYARD ST,MERCURY ST,THORNTON AVE \ VESTA ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,8279000
25EXC-01093,MADDUX AVE,THOMAS AVE,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,20731000
25EXC-01093,NEWCOMB AVE,NEWHALL ST,PHELPS ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,9554000
25EXC-01093,SOMERSET ST,CAMPBELL AVE,SAN BRUNO AVE,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,11975000
25EXC-01093,JENNINGS ST,VAN DYKE AVE,WALLACE AVE,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,7479000
25EXC-01093,KEITH ST,REBECCA LN,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,33274000
25EXC-01093,YOSEMITE AVE,LANE ST,MENDELL ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,13784000
25EXC-01093,LE CONTE AVE,MEADE AVE,LE CONTE CIR,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,8231000
25EXC-01221,MASON ST,ELWOOD ST,GEARY ST,Pacific Gas & Electric,Spot Paving,Gas,2025-04-14T00:00:00.000,2025-05-12T00:00:00.000,APPROVED,8803000
25EXC-01093,BOWMAN CT,KEITH ST,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,33275000
25EXC-00350,LAWRENCE AVE,MISSION ST,HURON AVE,Pacific Gas & Electric,Replace Pole,Electric,2025-05-01T00:00:00.000,2025-05-29T00:00:00.000,APPROVED,8179000
25EXC-01093,KEITH ST,BOWMAN CT,REBECCA LN,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,7779000
25EXC-01093,QUINT ST,SCOTIA AVE,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,20736000
25EXC-01093,SAWYER ST,SUNRISE WAY,CALGARY ST \ VELASCO AVE,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,11669000
25EXC-01093,AUGUSTA ST,WATERVILLE ST,ELMIRA ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,2548000
25EXC-01093,KEITH ST,REBECCA LN,HUDSON AVE,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,7780000
25EXC-01093,MADDUX AVE,SCOTIA AVE,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,20623000
25EXC-01093,UNDERWOOD AVE,JENNINGS ST,KEITH ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,12828000
25EXC-01093,BRIDGEVIEW DR,SCOTIA AVE \ THORNTON AVE,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,20614000
25EXC-01093,SAN BRUNO AVE,24TH ST,25TH ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,11361000
25EXC-01093,THORNTON AVE,VENUS ST,APOLLO ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,12596000
25EXC-01093,SALINAS AVE,GOULD ST,EXETER ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,11320000
25EXC-01093,GARRISON AVE,REY ST,SCHWERIN ST,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,6020002
25EXC-01093,THORNTON AVE,APOLLO ST,BRIDGEVIEW DR \ SCOTIA AVE,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,12597000
25EXC-01093,CLEO RAND AVE,START: 100-199 BLOCK,,Pavement Coatings Co,Micro-surfacing,Pavement Preservation,2025-04-01T00:00:00.000,2025-06-27T00:00:00.000,APPROVED,50752000
25EXC-01258,BALTIMORE WAY,SOUTH HILL BLVD,TOYON LN,Pacific Gas & Electric,Replace Pole,Electric,2025-05-01T00:00:00.000,2025-05-29T00:00:00.000,APPROVED,2701000
25EXC-01279,09TH AVE,ANZA ST,BALBOA ST,Pacific Gas & Electric,Replace Pole,,2025-04-13T00:00:00.000,2025-05-11T00:00:00.000,APPROVED,427000
25EXC-01290,CRESCENT AVE,ELLSWORTH ST,GATES ST,Pacific Gas & Electric,Replace Pole,Electric,2025-04-30T00:00:00.000,2025-05-28T00:00:00.000,APPROVED,4495000
25EXC-01255,NIAGARA AVE,MISSION ST,ALEMANY BLVD,Pacific Gas & Electric,Replace Pole,Sidewalk/Curb,2025-04-25T00:00:00.000,2025-05-23T00:00:00.000,APPROVED,9591000
